标题,链接,发布时间,内容
股友们：我认为不砸盘  我们都对不起这个黑心的公司对股友们的欺诈，公司和机构合伙欺骗我们，砸才是硬道理,"https://guba.eastmoney.com/news,300332,728841042.html",2017-11-16 10:21:05,股友们：我认为不砸盘 我们都对不起这个黑心的公司对股友们的欺诈，公司和机构合伙欺骗我们，砸才是硬道理！让他们知道，我们也不是好惹的！[心碎]
跌的时候如滔滔江水连绵不绝，涨的时候就是高龄产妇慢慢悠悠。该做抛妇产了。,"https://guba.eastmoney.com/news,300332,728833227.html",2017-11-16 10:09:42,跌的时候如滔滔江水连绵不绝，涨的时候就是高龄产妇慢慢悠悠。该做抛妇产了。
骗子公司。骗子公司。骗子公司,"https://guba.eastmoney.com/news,300332,728824842.html",2017-11-16 09:56:59,骗子公司。骗子公司。骗子公司
他妈的6*68两千多手单。傻瓜装不啦怎么有人交出筹码来,"https://guba.eastmoney.com/news,300332,728818388.html",2017-11-16 09:48:04,他妈的6*68两千多手单。傻瓜装不啦怎么有人交出筹码来
日筹码图看出平均成本8.63，,"https://guba.eastmoney.com/news,300332,728793230.html",2017-11-16 08:45:00,跌了这么多，平均成本没有下来，说明进的资金不多，大家都是套牢盘，补仓的钱都没有了，怎么办
机构快点割肉吧！欢迎新庄入住大家明年才有收获,"https://guba.eastmoney.com/news,300332,728521949.html",2017-11-15 14:58:18,或许明年一季报过后才会有行情
造假公司,"https://guba.eastmoney.com/news,300332,728644229.html",2017-11-15 19:33:00,造假公司
让大家散户超低天壕环境,"https://guba.eastmoney.com/news,300332,728553474.html",2017-11-15 15:58:02,让大家散户超低天壕环境
超低天壕环境300332,"https://guba.eastmoney.com/news,300332,728552403.html",2017-11-15 15:55:49,超低天壕环境300332
今天又创新低了，赶快跑路,"https://guba.eastmoney.com/news,300332,728541876.html",2017-11-15 15:35:04,今天又创新低了，赶快跑路
请不要做梦,"https://guba.eastmoney.com/news,300332,726076429.html",2017-11-07 21:04:07,目前走势是仅次于最差的 看看周线 已经决定这周没什么戏 幻想？做梦？当然可以，来个涨停，站不回8元 就是要创新低，目前日线有希望触碰五日线，但是依然更改不了，周线的坏！站上五日线，挺近7.50 还能看到些希望，否则盼着上涨就是做梦了，借着大盘好，就冲击五日线，大盘一不好就等着创新低，依然不看好，等走好的时候在来吧
象打压，不象在抛盘 .,"https://guba.eastmoney.com/news,300332,728485495.html",2017-11-15 14:04:34,"象打压，不象在抛盘
."
跌成无底洞了啊[不屑][不屑][不屑][不屑],"https://guba.eastmoney.com/news,300332,728452046.html",2017-11-15 13:09:18,跌成无底洞了啊[不屑][不屑][不屑][不屑]
绞肉机开始工作了！不玩了！,"https://guba.eastmoney.com/news,300332,728514636.html",2017-11-15 14:47:56,绞肉机开始工作了！不玩了！
抛了这么久究竟谁谁这么多货,"https://guba.eastmoney.com/news,300332,728417981.html",2017-11-15 11:33:51,抛了这么久究竟谁谁这么多货
天坑环境：啥时跌到5元附近才是机会进场     目前只有告诫一个字：跑路为上策,"https://guba.eastmoney.com/news,300332,728470133.html",2017-11-15 13:39:28,"天坑环境：啥时跌到5元附近才是机会进场
啥时跌到5元附近才是机会进场 目前只有告诫一个字：跑路为上策"
天坑还有20%的幅度下跌，股民们注意啦！离开这垃圾才是上策,"https://guba.eastmoney.com/news,300332,728467762.html",2017-11-15 13:35:39,天坑还有20%的幅度下跌，股民们注意啦！离开这垃圾才是上策
看图吧，没戏,"https://guba.eastmoney.com/news,300332,728419975.html",2017-11-15 11:37:46,1
比赛割肉呢吧,"https://guba.eastmoney.com/news,300332,728458492.html",2017-11-15 13:20:51,比赛割肉呢吧
这个位置这样抛，真是不可思议？？难道是造假上市？？？,"https://guba.eastmoney.com/news,300332,728460485.html",2017-11-15 13:24:06,这个位置这样抛，真是不可思议？？难道是造假上市？？？
你妈的连跌6个月就没个说法吗，不负责任的企业为何还不退市,"https://guba.eastmoney.com/news,300332,728352088.html",2017-11-15 09:57:18,你妈的连跌6个月就没个说法吗，不负责任的企业为何还不退市
操蛋，今天又要新低,"https://guba.eastmoney.com/news,300332,728352403.html",2017-11-15 09:57:48,操蛋，今天又要新低
原来的那个董秘公告的150w股减持还没出呢,"https://guba.eastmoney.com/news,300332,728435591.html",2017-11-15 12:19:18,公告在6月，半年内减持，也就是还有1个月时间，看样子他只能低位减持了。
